gname	area	qimpact
Slashdot0811.smat	6114.0	0.39566744888429317
anony-interactions-onemonthA-cc.smat	17112.0	0.7674549466088011
cit-HepPh.smat	29141.0	0.5671512714336859
cl-lfr-100000-3.00-2.00-0.15-1-2000-5-500-17-connect-graph-invdegdepth-8000-0.9-0.0-100-5.smat	35195.0	0.5934490642009762
cn-CA-AstroPh.smat	24668.0	0.44280993263712853
cn-Penn94.smat	18735.0	0.9113847079087134
cn-UCF52.smat	14424.0	0.4756223369051473
cn-UF21.smat	15726.0	0.6442520213203544
cn-USF51.smat	19696.0	0.8587040452030776
cn-modBerkeley13.smat	11193.0	0.8020750406883653
cn-modFSU53.smat	24699.0	0.9432780528964471
cn-modHarvard1.smat	21380.0	0.32799778429632964
cn-modNotre-Dame57.smat	16542.0	0.8488947123095613
cn-modStanford3.smat	12912.0	0.8100842373028082
cn-modUIllinois20.smat	24235.0	0.8909036387544063
cn-modUNC28.smat	13868.0	0.7461107868185334
cn-modWisconsin87.smat	18547.0	0.9084409544921495
commutes-all.smat	56090.0	0.7547161080324665
covidflows-2020_08_31-filtered-20.smat	48718.0	0.7269605217300695
dblp-cc.smat	30383.0	0.5830648652511419
email-Enron.smat	12983.0	0.386903021847418
flickr-links-sym.smat	15640.0	0.48610223432126054
geometric-100000-2d-1-20.smat	33894.0	0.9976684358096735
modmexico-city.smat	71272.0	0.9228459405503989
study-11-45.smat	41067.0	0.9373902456648274
